studio_title,api_status,google_name,match_confidence,website_uri,url_accessible,google_address,query_used
ソードミュージック多目的スタジオ,OK,ソードミュージック多目的スタジオ,1.0,https://www.swordmusic.com/studio,True,〒182-0015 東京都調布市八雲台２丁目１−１０,ソードミュージック多目的スタジオ 東京都調布市八雲台
タケウチ,OK,タケウチ ダンススタジオ,0.533,http://www13.plala.or.jp/tacsan/index.html,False,〒211-0006 神奈川県川崎市中原区丸子通１丁目６３６−１,タケウチ 神奈川県川崎市中原区丸子通
タップダンススタジオ,OK,KAZ TAP STUDIO TOKYO タップダンススタジオ,0.541,https://www.instagram.com/kaztapstudio?igsh=MXNhdG1rOG81OGUwNw%3D%3D&utm_source=qr,True,〒153-0051 東京都目黒区上目黒１丁目５−１０ B1 中目黒マンションB1F−10号室,タップダンススタジオ 東京都目黒区上目黒
大井町店 レンタルスペースROOTS,OK,大井町店 レンタルスペースROOTS,1.0,https://dancestudioroots.com/ooimachi/,True,〒140-0014 東京都品川区大井４丁目８−１１ L HOUSE 地下 一階,大井町店 レンタルスペースROOTS 東京都品川区大井
ダンススクール レンタルスタジオ studio LINK スタジオリンク,OK,ダンススクール レンタルスタジオ studio LINK スタジオリンク,1.0,,False,〒164-0012 東京都中野区本町４丁目３０−１１ B1,ダンススクール レンタルスタジオ studio LINK スタジオリンク 東京都中野区本町
ダンススタジオ,OK,DANCE STUDIO BOOGIE（北見ダンススタジオブギー）,0.368,,False,〒090-0042 北海道北見市北２条西４丁目13−２,ダンススタジオ 北海道北見市北２条西
"Dance space BUG FIX,",OK,"Dance space BUG FIX,",1.0,https://www.studiobugfix.com/,True,〒283-0826 千葉県東金市山田字稲荷谷６６９−３８,"Dance space BUG FIX, 千葉県東金市山田 字稲荷谷669-38"
ダンススタジオJJ,OK,ダンススタジオJJ,1.0,http://stjjkawagoe.com/,True,〒350-1123 埼玉県川越市脇田本町１４−３７ Mビル ５階,ダンススタジオJJ 埼玉県川越市脇田町３-１６ 丸石ビルディング 6階
ダンススタジオブリリアント,OK,ダンススタジオブリリアント,1.0,https://dancestudio-brilliant.jimdofree.com/,True,〒669-1522 兵庫県三田市下田中５８７−１,ダンススタジオブリリアント 兵庫県三田市下田中５８７-１
ダンススタジオ新宿（レンタルスタジオ）,OK,ダンススタジオ新宿（レンタルスタジオ）,1.0,,False,〒350-1124 埼玉県川越市新宿町５丁目19−５８,ダンススタジオ新宿（レンタルスタジオ） 埼玉県川越市新宿町
ダンスレンタルスタジオ プラーナ,OK,多摩市 聖蹟桜ヶ丘 レンタルスタジオ プラーナ,0.686,http://www.studio-pura-na.com/,True,〒206-0011 東京都多摩市関戸２丁目３２−５ カネシロビルB1,ダンスレンタルスタジオ プラーナ 東京都多摩市関戸
BUZZ レンタルスタジオ 池袋西口PARK店,OK,BUZZ池袋西口PARK,0.727,https://buzz-st.com/ikebukuro6/,False,〒171-0021 東京都豊島区西池袋３丁目３０−１０ ライオンビル B1,BUZZ レンタルスタジオ 池袋西口PARK店 東京都豊島区西池袋
BUZZ池袋サンシャイン,OK,BUZZ池袋サンシャイン,1.0,https://buzz-st.com/ikebukuro7,False,〒170-0013 東京都豊島区東池袋１丁目２６−３,BUZZ池袋サンシャイン 東京都豊島区東池袋
ちるどれ 上町スタジオ,OK,ちるどれぷらす,0.471,,False,〒540-0005 大阪府大阪市中央区上町１丁目６−１１,ちるどれ 上町スタジオ 大阪府大阪市中央区上町
ソニズレンタルスタジオ新中野鍋横店,OK,ソニズレンタルダンススタジオ新中野鍋横第1・第3,0.8,https://sonysdance.com/,True,〒164-0011 東京都中野区中央３丁目３４−３ B1階,ソニズレンタルスタジオ新中野鍋横店 東京都中野区中央
レンタルスタジオ マイレッスン 町田スタジオ2号,OK,レンタルスタジオマイレッスン 町田２号店,0.878,,False,〒194-0021 東京都町田市中町１丁目１５−１１ U&Eビル B1F,レンタルスタジオ マイレッスン 町田スタジオ2号 東京都町田市中町
